,pmid,journal,journal_abbrv,pub_year,institution
339,34510212,The Journal of nutrition,J Nutr,2021,"Department of Pediatrics, Vanderbilt University Medical Center, Nashville, TN, USA."
340,34475199,The Journal of neuroscience : the official journal of the Society for Neuroscience,J Neurosci,2021,"MIND Institute and Department of Psychiatry and Behavioral Sciences, University of California Davis School of Medicine, Sacramento, California 95817."
341,34467252,Cell reports. Medicine,Cell Rep Med,2021,"Department of Genetics and Genome Sciences, UConn Health, Farmington, CT 06030, USA."
342,34467244,Cell reports. Medicine,Cell Rep Med,2021,"Pharmaceutical Sciences, Roche Innovation Center Basel, F. Hoffmann-La Roche, Grenzacherstrasse 124, 4070 Basel, Switzerland."
343,34449677,Neurology international,Neurol Int,2021,"Department of Public Health, University of Naples Federico II, 80131 Naples, Italy."
344,34421347,International journal of biological sciences,Int J Biol Sci,2021,"Department of Thoracic Surgery, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology."
345,34421113,Current opinion in psychiatry,Curr Opin Psychiatry,2021,
346,34417655,Journal of autism and developmental disorders,J Autism Dev Disord,2022,"Angelman Syndrome Program, Massachusetts General Hospital for Children, Boston, MA, USA. Ckeary@partners.org."
347,34417445,Translational psychiatry,Transl Psychiatry,2021,"MRC Centre for Neuropsychiatric Genetics and Genomics, School of Medicine, Cardiff University, Cardiff, UK."
348,34374352,Annals of laboratory medicine,Ann Lab Med,2022,"Department of Laboratory Medicine, Seoul National University Hospital, Seoul National University College of Medicine, Seoul, Korea."
349,34369389,JCI insight,JCI Insight,2021,Departments of Clinical Genetics and Neuroscience and.
350,34366796,Frontiers in neural circuits,Front Neural Circuits,2021,"Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA, United States."
351,34365610,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,2021,"Key Laboratory for Human Disease Gene Study of Sichuan Province, Prenatal Diagnosis Center, Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, Sichuan 610072, China.yangjiyun@yeah.net."
352,34344470,Molecular autism,Mol Autism,2021,"Center for Autism Research and Treatment, Semel Institute for Neuroscience, University of California, Los Angeles, Los Angeles, CA, 90024, USA. vidyasaravanapandian@gmail.com."
353,34324503,PloS one,PLoS One,2021,"Department of Cytogenetics and Genomics, The Cyprus Institute of Neurology and Genetics, Nicosia, Cyprus."
354,34292674,Brain and behavior,Brain Behav,2021,"Department of Pediatric, The Affiliated Hospital of Inner Mongolia Medical University, Hohhot, China."
355,34292487,Journal of autism and developmental disorders,J Autism Dev Disord,2023,"Diagnosis and Development, Murdoch Children's Research Institute, Royal Children's Hospital, 50 Flemington Road, Parkville, VIC, 3052, Australia."
356,34232598,Revista medica del Instituto Mexicano del Seguro Social,Rev Med Inst Mex Seguro Soc,2021,"Hospital Civil de Guadalajara ""Dr. Juan I. Menchaca"", División de Pediatría, Servicio de Genética. Guadalajara, Jalisco, México."
357,34231979,Revista medica del Instituto Mexicano del Seguro Social,Rev Med Inst Mex Seguro Soc,2021,"Instituto Mexicano del Seguro Social, Centro Médico Nacional Siglo XXI, Hospital de Especialidades ""Dr. Bernardo Sepúlveda Gutiérrez"", Unidad de Investigación Médica en Enfermedades Endocrinas. Ciudad de México, México."
358,34203304,Genes,Genes (Basel),2021,"Department of Genetics and Metabolism, Children's Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Child Health, Hangzhou 310052, China."
359,34174467,European journal of medical genetics,Eur J Med Genet,2021,"School of Psychology, University of Birmingham, Birmingham, UK; School of Psychology, College of Health & Life Sciences, Aston University, Birmingham, UK. Electronic address: e.pearson1@aston.ac.uk."
360,34155183,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,J Clin Neurophysiol,2021,"Clinical Neurophysiology Department, Marqués de Valdecilla University Hospital, Santander, Cantabria, Spain."
361,34112038,Expert opinion on investigational drugs,Expert Opin Investig Drugs,2021,"MDUK Oxford Neuromuscular Center, University of Oxford, Oxford, UK."
362,34098723,"Journal of speech, language, and hearing research : JSLHR",J Speech Lang Hear Res,2021,"Laboratoire de Sciences Cognitives et Psycholinguistique, Département d'Etudes Cognitives, Ecole Normale Supérieure, EHESS, Centre Nationale de la Recherche Scientifique, PSL University, Paris, France."
363,34066798,"Medicina (Kaunas, Lithuania)",Medicina (Kaunas),2021,"Oasi Research Institute-IRCCS, 94018 Troina, Italy."
364,34047077,Annals of clinical and translational neurology,Ann Clin Transl Neurol,2021,"Department of Neurology, Massachusetts General Hospital, Boston, Massachusetts, USA."
365,34046054,Frontiers in genetics,Front Genet,2021,"Fulgent Genetics, Temple City, CA, United States."
366,34042275,American journal of medical genetics. Part A,Am J Med Genet A,2021,"Department of Medical Genetics, Osaka Women's and Children's Hospital, Osaka, Japan."
367,34031203,Neurology,Neurology,2021,"From the Department of Neurology, Massachusetts General Hospital, Harvard Medical School, Boston. nascimento.fabio.a@gmail.com."
368,34025247,Epilepsy currents,Epilepsy Curr,2020,
369,34001112,BMC medical genomics,BMC Med Genomics,2021,"Integrative and Systems Biology Program, University of Colorado Denver, Denver, USA."
370,33998992,Current neuropharmacology,Curr Neuropharmacol,2021,"Department of Neurology, Stem Cell Program and Gene Therapy Center, UC Davis Medical Center, Sacramento, CA, United States."
371,33995501,Frontiers in genetics,Front Genet,2021,"School of Medicine, Guizhou University, Guiyang, China."
372,33951249,Journal of intellectual disability research : JIDR,J Intellect Disabil Res,2021,"NevSom, Department of Rare Disorders, Oslo University Hospital, Oslo, Norway."
373,33924158,"Children (Basel, Switzerland)",Children (Basel),2021,"Department of Pediatrics, College of Medicine, The Catholic University of Korea, Seoul 06591, Korea."
374,33882495,Developmental neuroscience,Dev Neurosci,2021,"Department of Pediatrics, University of Texas Southwestern Medical Center, Dallas, Texas, USA."
375,33878837,Zhonghua yi xue za zhi,Zhonghua Yi Xue Za Zhi,2021,"Peking University Fifth School of Clinical Medicine, National Center for Clinical Laboratories, Beijing Hospital, National Center of Gerontology; Institute of Geriatric Medicine, Chinese Academy of Medical Sciences, Beijing 100730, China."
376,33878039,JBJS case connector,JBJS Case Connect,2021,"Department of Orthopaedic Surgery, Kitasato University School of Medicine, Sagamihara City, Kanagawa, Japan."
377,33857357,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Adv Clin Exp Med,2021,"Department of Burns and Plastic Surgery, Affiliated Hospital of Nantong University, China."
378,33856035,Human molecular genetics,Hum Mol Genet,2021,"Department of Psychiatry and Behavioral Sciences, MIND Institute, University of California Davis School of Medicine, Sacramento, CA 95817, USA."
379,33819264,PLoS genetics,PLoS Genet,2021,"Department of Biochemistry and Molecular Biology, The Pennsylvania State University, University Park, PA, United States of America."
380,33777976,Frontiers in medicine,Front Med (Lausanne),2021,"Hospital Municipal Infantil Menino Jesus, São Paulo, Brazil."
381,33748817,Global medical genetics,Glob Med Genet,2021,"Department of Medical Genetics, Faculty of Medicine, Near East University, Nicosia, Cyprus."
382,33739554,Journal of intellectual disability research : JIDR,J Intellect Disabil Res,2021,"Department of Medical Genetics, Hacettepe University Faculty of Medicine, Ankara, Turkey."
383,33737669,Scientific reports,Sci Rep,2021,"Department of Chemical and Biomolecular Engineering, North Carolina State University, Raleigh, NC, 27695-7905, USA."
384,33693596,Brain : a journal of neurology,Brain,2021,"Department of Psychology, Pritzker Hall, University of California Los Angeles, Los Angeles, CA 90095, USA."
385,33678338,Taiwanese journal of obstetrics & gynecology,Taiwan J Obstet Gynecol,2021,"Department of Obstetrics and Gynecology, MacKay Memorial Hospital, Taipei, Taiwan; Department of Medical Research, MacKay Memorial Hospital, Taipei, Taiwan; School of Chinese Medicine, College of Chinese Medicine, China Medical University, Taichung, Taiwan; Institute of Clinical and Community Health Nursing, National Yang-Ming University, Taipei, Taiwan; Department of Obstetrics and Gynecology, School of Medicine, National Yang-Ming University, Taipei, Taiwan; Department of Medical Laboratory Science and Biotechnology, Asia University, Taichung, Taiwan. Electronic address: cpc_mmh@yahoo.com."
386,33664655,Frontiers in behavioral neuroscience,Front Behav Neurosci,2021,"Cerebra Centre for Neurodevelopmental Disorders, School of Psychology, University of Birmingham, Birmingham, United Kingdom."
387,33611074,Parkinsonism & related disorders,Parkinsonism Relat Disord,2021,"Institute of Neurogenomics, Helmholtz Zentrum München, Munich, Germany; Institute of Human Genetics, Technical University of Munich, Munich, Germany. Electronic address: michael.zech@mri.tum.de."
388,33607653,Human molecular genetics,Hum Mol Genet,2021,"Department of Medical Biochemistry, Amsterdam UMC, University of Amsterdam, 1105 AZ, Amsterdam, The Netherlands."
389,33549123,Molecular autism,Mol Autism,2021,"MIND Institute and Department of Psychiatry and Behavioral Sciences, University of California Davis School of Medicine, Room 1001B, Research II Building 96, 4625 2nd Avenue, Sacramento, CA, 95817, USA."
390,33543479,Developmental medicine and child neurology,Dev Med Child Neurol,2021,"Department of Neuroscience, Erasmus University Medical Center, Rotterdam, the Netherlands."
391,33542309,Scientific reports,Sci Rep,2021,"Department of Medical Biochemistry, Amsterdam UMC, University of Amsterdam, 1105 AZ, Amsterdam, The Netherlands."
392,33538077,Molecular genetics & genomic medicine,Mol Genet Genomic Med,2021,"MOE Key Laboratory of Tumor Molecular Biology and Key Laboratory of Functional Protein Research of Guangdong Higher Education Institutes, Institute of Life and Health Engineering, College of Life Science and Technology, Jinan University, Guangzhou, China."
393,33531368,eNeuro,eNeuro,2021,"Cain Foundation Laboratories, Jan and Dan Duncan Neurological Research Institute at Texas Children's Hospital, Houston, TX 77030."
394,33517526,Journal of autism and developmental disorders,J Autism Dev Disord,2023,"Department of Psychiatry, Boston Children's Hospital, Boston, MA, 02115, USA. Anjali.sadhwani@childrens.harvard.edu."
395,33486335,Epilepsy research,Epilepsy Res,2021,"Department of Obstetrics & Gynecology, West China Second University Hospital, Sichuan University, Chengdu, Sichuan, 610041, China; Key Laboratory of Birth Defects and Related Diseases of Women and Children (Sichuan University), Ministry of Education, Chengdu, 610041, China."
396,33484323,Journal of neurology,J Neurol,2021,"Department of Medical and Surgical Sciences, Magna Graecia University, Germaneto, Catanzaro, Italy."
397,33474832,Autism research : official journal of the International Society for Autism Research,Autism Res,2021,"Department of Molecular Pharmacology and Physiology, University of South Florida, Tampa, Florida, USA."
398,33464534,Molecular neurobiology,Mol Neurobiol,2021,"CNC - Center for Neuroscience and Cell Biology, University of Coimbra, Rua Larga, Faculty of Medicine Building-Polo 1, 3004-504, Coimbra, Portugal."
399,33456993,Journal of gastrointestinal oncology,J Gastrointest Oncol,2020,"State Key Laboratory of Cancer Biology, Institute of Digestive Diseases, Xijing Hospital, The Fourth Military Medical University, Xi'an, China."
400,33443117,Neurology,Neurology,2021,"From the University of California, San Diego (L.M.B.); Rady Children's Hospital (L.M.B.), San Diego, CA; Division of Developmental-Behavioral Pediatrics (C.O.-L.), Rush University Medical Center, Chicago, IL; Division of Genetics and Genomics (W.-H.T.), Boston Children's Hospital, Harvard Medical School, MA; Pediatric Neurology Unit (G.H.), Safra Children's Hospital, the Sheba Medical Center, Ramat Gan; The Sackler School of Medicine (G.H.), Tel Aviv University, Israel; Southwest Autism Research and Resource Center (R.D.M.), Phoenix, AZ; Ovid Therapeutics Inc. (A.R., M.J.D.); Neurogene (J.V.), New York, NY; Prometrika, LLC (C.H.), Cambridge, MA; Department of Molecular Biology (R.D.B.), Princeton University, NJ; Seaver Autism Center for Research and Treatment, Department of Psychiatry (A.K.), Icahn School of Medicine at Mount Sinai, New York, NY; and Angelman Syndrome Clinic, Department of Neurology (R.L.T.), Massachusetts General Hospital, Boston."
401,33438195,Revista de neurologia,Rev Neurol,2021,"Hospital Universitario Puerta de Hierro-Majadahonda, 28035 Majadahonda, España."
402,33420192,Scientific reports,Sci Rep,2021,"Laboratory for Neurobiology of Psychiatric Disorders, Sagol Department of Neurobiology, University of Haifa, 199 Aba Khoushy Ave., Mt. Carmel, 3498838, Haifa, Israel."
403,33419637,Brain & development,Brain Dev,2021,"Department of Pediatrics, Hokkaido University Graduate School of Medicine, North 15 West 7, Kita-ku, Sapporo 060-8638, Japan."
404,33411694,The Journal of clinical investigation,J Clin Invest,2021,
405,33408038,Brain & development,Brain Dev,2021,"Department of Pediatrics, Hokkaido University Graduate School of Medicine, North 15 West 7, Kita-ku, Sapporo 060-8638, Japan."
406,33397286,Journal of neurodevelopmental disorders,J Neurodev Disord,2021,"Seaver Autism Center for Research and Treatment, Department of Psychiatry, Icahn School of Medicine at Mount Sinai, New York, NY, USA."
407,33395098,Current opinion in psychiatry,Curr Opin Psychiatry,2021,"Child Development Program, Children's Health Queensland."
408,33370574,Neuroscience and biobehavioral reviews,Neurosci Biobehav Rev,2021,"Centre for Molecular Neurosciences, Kasturba Medical College, Manipal Academy of Higher Education, Manipal, 576104, Karnataka, India."
409,33333793,Journal of personalized medicine,J Pers Med,2020,"Division of Pediatric Neurology, Department of Pediatrics, Children's Hospital, China Medical University Hospital, Taichung 40447, Taiwan."
410,33317189,Biomedicines,Biomedicines,2020,"Department of Women's and Children's Health, Institute of Life Course and Medical Sciences, University of Liverpool, Member of Liverpool Health Partners, Liverpool L8 7SS, UK."
411,33313428,eNeurologicalSci,eNeurologicalSci,2021,"Department of Pediatrics, Hokkaido University Graduate School of Medicine, North 15 West 7, Kita-ku, Sapporo 060-8638, Japan."
412,33308194,BMC psychiatry,BMC Psychiatry,2020,"Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, 600 Wanping Nan Road, Shanghai, 200030, China."
413,33214655,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Neuropsychopharmacology,2021,"Sagol Department of Neurobiology, The Integrated Brain and Behavior Research Center, University of Haifa, Haifa, 3498838, Israel."
414,33212289,Neurobiology of disease,Neurobiol Dis,2021,"Sagol Department of Neurobiology, University of Haifa, Haifa 3498838, Israel."
415,33207262,Cellular signalling,Cell Signal,2021,"Cellular and Molecular Neurobiology Unit, Indian Institute of Technology Jodhpur, Rajasthan 342037, India."
416,33203220,Clinical EEG and neuroscience,Clin EEG Neurosci,2023,"Department of Pediatrics, Baylor College of Medicine, Houston, TX, USA."
417,33200847,Animal genetics,Anim Genet,2021,"College of Life Science, Agricultural University of Hebei, Baoding, Hebei, China."
418,33192535,Frontiers in physiology,Front Physiol,2020,"ATIP-Avenir Team, INM, INSERM, University of Montpellier, Montpellier, France."
419,33186391,PloS one,PLoS One,2020,"Ophthalmology Service, Scientific Institute IRCCS Eugenio Medea, Conegliano-Pieve di Soligo (TV), Italy."
420,33182779,Cells,Cells,2020,"Institute of Cell Biology and Neurobiology, Charité-Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Charitéplatz 1, 10117 Berlin, Germany."
421,33151040,Brain and behavior,Brain Behav,2021,"Department of Psychological Science/Behavioral Neuroscience, University of Connecticut, Storrs, CT, USA."
422,33116122,Translational psychiatry,Transl Psychiatry,2020,"Diagnosis and Development, Murdoch Children's Research Institute, Royal Children's Hospital, Melbourne, Victoria, Australia."
423,33108069,Autism research : official journal of the International Society for Autism Research,Autism Res,2021,"Center for Neural Science, New York University, New York, New York, USA."
424,33108066,American journal of medical genetics. Part A,Am J Med Genet A,2021,"Intellectual Disability Medicine, Department of General Practice, Erasmus MC, Rotterdam, The Netherlands."
425,33087932,Nature,Nature,2020,"UNC Neuroscience Center, The University of North Carolina at Chapel Hill, Chapel Hill, NC, USA."
426,33076843,Journal of neurodevelopmental disorders,J Neurodev Disord,2020,"Neuroscience Curriculum, University of North Carolina School of Medicine, Chapel Hill, NC, 27599, USA."
427,33055385,Nanotechnology,Nanotechnology,2021,"NEST, Istituto Nanoscienze- CNR and Scuola Normale Superiore, Pisa, Italy."
428,33049319,Neurobiology of disease,Neurobiol Dis,2020,"CNC- Center for Neuroscience and Cell Biology, University of Coimbra, 3004-517 Coimbra, Portugal; Faculty of Medicine, University of Coimbra, 3004-504 Coimbra, Portugal."
429,33042582,Neuroscience of consciousness,Neurosci Conscious,2020,"Department of Psychology, University of California Los Angeles, 3423 Franz Hall, Los Angeles, CA, USA."
430,33037390,Journal of human genetics,J Hum Genet,2021,"Yokohama City University Graduate School of Medicine, Yokohama, 236-0004, Japan."
431,33035446,Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol,2021,"Ionis Pharmaceuticals Inc., Carlsbad, California 92010, USA; email: fbennett@ionisph.com."
432,33009450,Scientific reports,Sci Rep,2020,"Unit of Child Neurology and Psychiatry, ASST Spedali Civili of Brescia, Brescia, Italy. serena.micheletti@unibs.it."
433,32976638,Journal of pineal research,J Pineal Res,2020,"Department of Pharmacology and Toxicology, Morehouse School of Medicine, Atlanta, GA, USA."
434,32970510,Epigenetics,Epigenetics,2021,"Division of Functional Genomics, Centre for Frontier Life Sciences, Nagasaki University, Nagasaki, Japan."
435,32966807,Cell chemical biology,Cell Chem Biol,2020,"Department of Biology, University of Konstanz, Konstanz, Germany; Konstanz Research School Chemical Biology, University of Konstanz, Konstanz, Germany."
436,32961075,Open biology,Open Biol,2020,"Department of Genetics and Genome Sciences, UCONN Health, 400 Farmington Avenue, Farmington, CT 06030, USA."
437,32948244,Molecular autism,Mol Autism,2020,"Department of Neuroscience and the ENCORE Expertise Center for Neurodevelopmental Disorders, Erasmus MC University Medical Center, 3015 CN, Rotterdam, The Netherlands."
438,32937128,Cell reports,Cell Rep,2020,"Department of Cell Biology & Physiology, University of North Carolina, Chapel Hill, NC 27599, USA; Carolina Institute for Developmental Disabilities, University of North Carolina, Chapel Hill, NC 27599, USA; Neuroscience Center, University of North Carolina, Chapel Hill, NC 27599, USA; Center for Neuroscience Research, Children's National Medical Center, Washington, DC 20010, USA; Departments of Pediatrics and Pharmacology & Physiology, The George Washington University School of Medicine and Health Sciences, Washington, DC 20052, USA. Electronic address: msidorov@childrensnational.org."
439,32924115,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,2020,"Epilepsy Center, Qilu Children's Hospital of Shandong University, Jinan, Shandong 250022, China. liuyi-ly@126.com."
440,32916124,Stem cell reports,Stem Cell Reports,2020,"Department of Chemical and Biomolecular Engineering, North Carolina State University, Campus Box 7905, Raleigh, NC 27606, USA."
441,32893075,Brain & development,Brain Dev,2021,"Child Neurology Section, Department of Pediatrics, University of Arkansas for Medical Sciences, Debopam Samanta 1 Children's Way, Little Rock, AR 72202, USA. Electronic address: dsamanta@uams.edu."
442,32889787,Molecular genetics & genomic medicine,Mol Genet Genomic Med,2020,"Intellectual Disability Medicine, Department of General Practice, Erasmus MC University Medical Center, Rotterdam, The Netherlands."
443,32881030,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Spec Care Dentist,2020,"Department of Oral and Maxillofacial Surgery, Barzilai Medical University Center, Ashkelon, Israel."
444,32880036,Child psychiatry and human development,Child Psychiatry Hum Dev,2021,"Roche Products Limited, Hexagon Place, 6 Falcon Way, Shire Park, Welwyn Garden City, AL7 1TW, UK. tom.willgoss@roche.com."
445,32879944,Human molecular genetics,Hum Mol Genet,2020,"Department of Neuroscience, Erasmus University Medical Center, 3015 GD Rotterdam, The Netherlands."
446,32871949,Medicine,Medicine (Baltimore),2020,"The Sixth Affiliated Hospital of Kunming Medical University, Yuxi, Yunnan, P.R. China."
447,32860835,Biochimica et biophysica acta. Molecular cell research,Biochim Biophys Acta Mol Cell Res,2020,"College of Osteopathic Medicine of the Pacific, Western University of Health Sciences, Pomona, CA 91766, United States of America; Graduate College of Biomedical Sciences, Western University of Health Sciences, Pomona, CA 91766, United States of America."
448,32855237,The Journal of biological chemistry,J Biol Chem,2020,"Department of Biology, University of Konstanz, Germany; Konstanz Research School Chemical Biology, University of Konstanz, Germany."
449,32842956,"Genetics, selection, evolution : GSE",Genet Sel Evol,2020,"Queensland Alliance for Agriculture and Food Innovation, The University of Queensland, Brisbane, Australia. r.costilla@uq.edu.au."
450,32833011,Human molecular genetics,Hum Mol Genet,2020,"Department of Genetics and Genome Sciences, University of Connecticut Health Center, Farmington, CT 06030, USA."
451,32817301,"Learning & memory (Cold Spring Harbor, N.Y.)",Learn Mem,2020,"MIND Institute, Department of Psychiatry and Behavioral Sciences, University of California Davis School of Medicine, Sacramento, California 95821, USA."
452,32815268,American journal of medical genetics. Part A,Am J Med Genet A,2020,"Department of Clinical Genomics, Mayo Clinic, Rochester, Minnesota, USA."
453,32792659,Molecular psychiatry,Mol Psychiatry,2021,"Roche Pharma Research and Early Development, Neuroscience and Rare Diseases, Roche Innovation Center Basel, Basel, Switzerland."
454,32791992,Journal of neurodevelopmental disorders,J Neurodev Disord,2020,"Center for Autism Research and Treatment, Semel Institute for Neuroscience, University of California Los Angeles, Los Angeles, CA, 90024, USA. vidyasaravanapandian@gmail.com."
455,32783951,"Structure (London, England : 1993)",Structure,2020,"Protein Processing Section, Structural Biophysics Laboratory, Center for Cancer Research, National Cancer Institute, Frederick, MD 21702, USA."
456,32751183,Cancers,Cancers (Basel),2020,"Department of Pharmacology, Northwestern University, Chicago, IL 60611, USA."
457,32722525,Genes,Genes (Basel),2020,"Molecular and Human Genetics Department, Baylor College of Medicine, Houston, TX 77030, USA."
458,32713229,Journal of child neurology,J Child Neurol,2020,"Department of Neurology, 4352Mayo Clinic, Rochester, MN, USA."
459,32655274,Evolution and human behavior : official journal of the Human Behavior and Evolution Society,Evol Hum Behav,2019,"Department of Organismic and Evolutionary Biology, Harvard University, 26 Oxford St., Cambridge, MA 02138, USA."
460,32652832,American journal of medical genetics. Part A,Am J Med Genet A,2020,"Centre for Genetic Medicine, The Hospital for Sick Children, Toronto, Ontario, Canada."
461,32639967,PloS one,PLoS One,2020,"Gustaf H. Carlson School of Chemistry and Biochemistry, Clark University, Worcester, MA, United States of America."
462,32578144,Advances in neurobiology,Adv Neurobiol,2020,"Department of Genetics and Genome Sciences, University of Connecticut School of Medicine, Farmington, CT, USA."
463,32571899,Journal of medical genetics,J Med Genet,2021,"Division of Molecular Medicine, Leeds Institute of Medical Research, University of Leeds, Leeds, West Yorkshire, UK."
464,32555345,Scientific reports,Sci Rep,2020,"College of Osteopathic Medicine of the Pacific, Western University of Health Sciences, Pomona, CA, 91766, USA."
465,32551137,Neuroscience of consciousness,Neurosci Conscious,2020,"Department of Psychology, University of California Los Angeles, 3423 Franz Hall, Los Angeles, CA, USA."
466,32546626,mBio,mBio,2020,"Biochemistry Program, Graduate School of Biomedical Sciences, Tufts University School of Medicine, Boston, Massachusetts, USA."
467,32545848,International journal of molecular sciences,Int J Mol Sci,2020,"State Key Laboratory of Molecular Biology, Shanghai Institute of Biochemistry and Cell Biology, Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences, Shanghai 200031, China."
468,32532103,International journal of molecular sciences,Int J Mol Sci,2020,"Sagol Department of Neurobiology, Faculty of Natural Sciences, University of Haifa, Abba Khoushy Ave 199, Haifa 3498838, Israel."
469,32524756,American journal of medical genetics. Part A,Am J Med Genet A,2020,"College of Arts and Sciences, Creighton University, Omaha, Nebraska, USA."
470,32506735,American journal of medical genetics. Part A,Am J Med Genet A,2020,"Harvard Medical School, Boston, Massachusetts, USA."
471,32503425,Journal of neurodevelopmental disorders,J Neurodev Disord,2020,"Department of Psychological Sciences, Purdue University, 703 Third Street, West Lafayette, IN, 47907, USA."
472,32500351,Neurogenetics,Neurogenetics,2020,"Department of Neurology, Leeds General Infirmary, Great George Street, Leeds, LS1 3EX, UK. m.tanti@nhs.net."
473,32478012,Frontiers in pediatrics,Front Pediatr,2020,"Division of Research and Genetics, Departments of Psychiatry and Behavioral Sciences and Pediatrics, University of Kansas Medical Center, Kansas City, KS, United States."
474,32455880,Journal of clinical medicine,J Clin Med,2020,"Laboratory for Neurobiology of Psychiatric Disorders, Sagol Department of Neurobiology, University of Haifa, 199 Aba Khoushy Ave., Mt. Carmel, Haifa 3498838, Israel."
475,32449301,American journal of medical genetics. Part A,Am J Med Genet A,2020,"Autism Centre of Excellence, Griffith University, Brisbane, Queensland, Australia."
476,32446438,Seminars in pediatric neurology,Semin Pediatr Neurol,2020,"The Center for Neurological and Neurodevelopmental Health, Voorhees, NJ; Molecular and Mitochondrial Medicine, Pasadena, CA."
477,32416156,Cellular and molecular gastroenterology and hepatology,Cell Mol Gastroenterol Hepatol,2020,"Department of Clinical Medicine, Trinity Translational Medicine Institute, Trinity College, Dublin, Ireland."
478,32393975,"Human reproduction (Oxford, England)",Hum Reprod,2020,"Fertility Clinic, Rigshospitalet, Copenhagen University Hospital, 2100 Copenhagen, Denmark."
479,32384786,International journal of molecular sciences,Int J Mol Sci,2020,"Departments of Psychiatry & Behavioral Sciences and Pediatrics, University of Kansas Medical Center, Kansas City, KS 66160, USA."
480,32381544,AJNR. American journal of neuroradiology,AJNR Am J Neuroradiol,2020,"From the Department of Radiology and Research Institute of Radiology (H.M.Y., W.H.S., J.S.L., J.H.K.)."
481,32378784,Developmental neurobiology,Dev Neurobiol,2020,"Division of Life Science, Hong Kong University of Science and Technology, Hong Kong, China."
482,32344153,Neurobiology of disease,Neurobiol Dis,2020,"Department of Neurology, UTHSC, Memphis, TN, United States of America; Integrated Biomedical Science Program, UTHSC, Memphis, TN, United States of America. Electronic address: khope@genetics.utah.edu."
483,32341813,Journal of pediatric genetics,J Pediatr Genet,2020,"Department of Human and Translational Genetics, University of Miami Miller School of Medicine, Miami, Florida, United States."
484,32316223,Cells,Cells,2020,"Laboratory of Transgenic Models of Diseases, Institute of Molecular Genetics of the CAS, v.v.i, 252 50 Vestec, Czech Republic."
485,32269945,Tzu chi medical journal,Tzu Chi Med J,2020,"Department of Psychiatry, Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation, New Taipei, Taiwan."
486,32265825,Frontiers in neurology,Front Neurol,2020,"Department of Cardiology, Beijing Hospital, National Center of Gerontology, Beijing, China."
487,32265660,Frontiers in cellular neuroscience,Front Cell Neurosci,2020,"McMaster Integrative Neuroscience Discovery and Study (MiNDS) Program, McMaster University, Hamilton, ON, Canada."
488,32253620,Cell and tissue banking,Cell Tissue Bank,2020,"Faculty of Anatomy, School of Medicine, Tehran University of Medical Science, 16 Azar Avenue, Poor Sina Street, Tehran, Iran."
489,32164978,Brain & development,Brain Dev,2020,"Department of Pediatrics, Hokkaido University Hospital, Japan."
490,32157086,Nature communications,Nat Commun,2020,"Protein Processing Section, Structural Biophysics Laboratory, Center for Cancer Research, National Cancer Institute, Frederick, MD, 21702, USA."
491,32152487,European journal of human genetics : EJHG,Eur J Hum Genet,2020,"Institut für Humangenetik, Universitätsklinikum Essen, Universität Duisburg-Essen, Essen, Germany."
492,32117010,Frontiers in neurology,Front Neurol,2020,"Paediatric Neurology Unit, Department of Paediatrics, Navarra Health Service Hospital, Pamplona, Spain."
493,32088294,Neuroscience,Neuroscience,2020,"Department of Neuroscience, The ENCORE Expertise Center for Neurodevelopmental Disorders, Erasmus MC University Medical Center, Rotterdam, The Netherlands."
494,32087286,Neurobiology of disease,Neurobiol Dis,2020,"Department of Pharmacological and Biomolecular Sciences, Milan University, Italy; Department of Neuroscience, Istituto di Ricerche Farmacologiche Mario Negri-IRCCS, Milan, Italy."
495,32087261,Neuroscience,Neuroscience,2020,"Molecular Neurobiology Lab, Centre for Neural and Cognitive Sciences, University of Hyderabad, Hyderabad 500046, India."
496,32087041,The FEBS journal,FEBS J,2020,"Department of Bioengineering and iBB-Institute for Bioengineering and Biosciences, Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Portugal."
497,32080264,Scientific reports,Sci Rep,2020,"Department of Orthopedics, the Fourth Hospital of China Medical University, Shenyang, Liaoning, China."
